epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,473.81,1.34413,1.81405,1.66211,0.59442,0.24155,0.2048,0.07824,2.6434,2.43842,3.17456,0.000848969,0.000848969,0.000848969
43,485.346,1.28822,1.72879,1.61354,0.48469,0.1715,0.207,0.06447,2.55067,2.71607,3.01334,0.000834822,0.000834822,0.000834822
44,497.45,1.38423,1.73681,1.66829,0.72751,0.23913,0.2943,0.12615,2.49027,2.49769,2.92128,0.000820675,0.000820675,0.000820675
45,506.567,1.36188,1.71146,1.65486,0.17267,0.64251,0.25766,0.09732,2.5496,2.7835,3.10915,0.000806528,0.000806528,0.000806528
46,518.064,1.31988,1.60698,1.63231,0.27576,0.35266,0.29609,0.12598,2.537,2.28724,3.09309,0.00079238,0.00079238,0.00079238
47,530.347,1.33898,1.71236,1.64927,0.22045,0.30153,0.25561,0.10278,2.5682,2.60512,3.08785,0.000778233,0.000778233,0.000778233
48,539.621,1.27914,1.62706,1.57656,0.82006,0.29278,0.30746,0.1291,2.49952,2.29182,3.06993,0.000764086,0.000764086,0.000764086
49,551.828,1.28877,1.6025,1.60822,0.82213,0.2822,0.38627,0.15714,2.64599,2.3896,3.19602,0.000749939,0.000749939,0.000749939
50,563.733,1.28024,1.57733,1.59011,0.72034,0.1715,0.2987,0.11539,2.62945,2.35997,3.11309,0.000735792,0.000735792,0.000735792
51,573.244,1.29886,1.5613,1.59263,0.56156,0.17923,0.23296,0.09637,2.64233,2.35461,3.1787,0.000721645,0.000721645,0.000721645
52,584.687,1.21816,1.46071,1.54433,0.28077,0.22705,0.20766,0.09207,2.70404,2.45929,3.36162,0.000707498,0.000707498,0.000707498
53,596.724,1.16662,1.45942,1.50018,0.31817,0.28261,0.25844,0.09361,2.69236,2.38102,3.29511,0.000693351,0.000693351,0.000693351
54,606.801,1.23279,1.45378,1.53568,0.23526,0.28429,0.22487,0.08452,2.54048,2.40289,3.12415,0.000679204,0.000679204,0.000679204
55,617.569,1.18289,1.41918,1.50367,0.48159,0.25201,0.30381,0.12545,2.6587,2.11812,3.30367,0.000665057,0.000665057,0.000665057
56,629.724,1.15292,1.36603,1.50323,0.49147,0.25362,0.35572,0.15958,2.59785,2.15362,3.28644,0.000650909,0.000650909,0.000650909
57,639.688,1.136,1.41237,1.49743,0.44512,0.29853,0.32779,0.14171,2.71171,2.36651,3.34969,0.000636762,0.000636762,0.000636762
58,652.594,1.13776,1.33146,1.49023,0.31339,0.26408,0.29981,0.10115,2.66028,2.43952,3.32176,0.000622615,0.000622615,0.000622615
59,664.003,1.17841,1.33044,1.48019,0.46645,0.22501,0.28293,0.08748,2.57094,2.34191,3.2733,0.000608468,0.000608468,0.000608468
60,675.362,1.14916,1.37404,1.49245,0.58752,0.22705,0.31219,0.10523,2.60623,2.34827,3.41787,0.000594321,0.000594321,0.000594321
61,684.92,1.10041,1.29735,1.45267,0.83866,0.21256,0.31681,0.08558,2.63637,2.29134,3.37617,0.000580174,0.000580174,0.000580174
62,697.053,1.09868,1.22386,1.43959,0.20659,0.32421,0.30278,0.11574,2.63276,2.4341,3.46115,0.000566027,0.000566027,0.000566027
63,708.688,1.06834,1.20981,1.42554,0.75924,0.1715,0.24894,0.09953,2.67221,2.50535,3.45511,0.00055188,0.00055188,0.00055188
64,718.313,1.09201,1.26261,1.43742,0.76375,0.34907,0.36511,0.14246,2.64298,2.45094,3.3206,0.000537733,0.000537733,0.000537733
65,730.378,1.09399,1.27182,1.44058,0.79755,0.30918,0.3988,0.19357,2.63539,2.23952,3.35738,0.000523586,0.000523586,0.000523586
66,742.525,1.08244,1.23183,1.43529,0.41299,0.71498,0.43915,0.19259,2.6091,2.30241,3.38831,0.000509438,0.000509438,0.000509438
67,753.498,1.08227,1.28658,1.41931,0.38108,0.31158,0.32858,0.13661,2.59832,2.53288,3.39849,0.000495291,0.000495291,0.000495291
68,765.821,1.05199,1.21073,1.40453,0.49704,0.23877,0.33859,0.12059,2.6419,2.30998,3.43979,0.000481144,0.000481144,0.000481144
69,777.793,0.99736,1.14825,1.37073,0.82266,0.26812,0.3609,0.16036,2.60569,2.3703,3.27674,0.000466997,0.000466997,0.000466997
70,788.12,0.9772,1.10242,1.34124,0.46056,0.27341,0.31929,0.11691,2.62294,2.57641,3.40915,0.00045285,0.00045285,0.00045285
71,798.942,1.02964,1.17067,1.38315,0.37362,0.28261,0.28051,0.11604,2.54978,2.72675,3.32808,0.000438703,0.000438703,0.000438703
72,811.099,1.01866,1.07578,1.35188,0.73995,0.25362,0.27244,0.09421,2.63285,2.36941,3.52919,0.000424556,0.000424556,0.000424556
73,821.923,0.98607,1.11892,1.36498,0.78521,0.28261,0.29011,0.09777,2.54121,2.57657,3.46045,0.000410409,0.000410409,0.000410409
